"Key","Clicks","Impressions","CTR","Position"
"performance sql server","0","11","0","12,727272727272727"
"sql server beratung","0","9","0","10,666666666666666"
"optimierung sql server","0","7","0","53"
"beratung sql server","0","7","0","13,142857142857142"
"index optimierung sql server","0","6","0","84,16666666666667"
"krick it services","0","6","0","20,666666666666668"
"powershell tutorial deutsch","0","5","0","10"
"sql server consulting","0","5","0","12,8"
"sql server optimierung","0","5","0","57,2"
"beratung microsoft sql server","0","5","0","51,2"
"github copilot powershell support","0","4","0","8,5"
"consulting sql server","0","4","0","77"
"mcp sql","0","3","0","6"
"sql server performance tuning","0","3","0","8"
"sql performance tuning","0","3","0","3,3333333333333335"
"powershell kurse","0","3","0","3"
"sql performance optimierung","0","3","0","10"
"sql performance","0","2","0","10"
"github copilot powershell","0","2","0","5"
"powershell tutorial deutsch pdf","0","2","0","9,5"
"sql server performance optimierung","0","2","0","31"
"sql beratung","0","2","0","10,5"
"sql server optimieren","0","1","0","55"
"sql workshop","0","1","0","19"
"powershell grundlagen pdf","0","1","0","5"
"powershell lernen","0","1","0","19"
"sqlperformance","0","1","0","7"
"powershell grundlagen","0","1","0","46"
"powershell blog","0","1","0","10"
"powershell 7.5.5 release","0","1","0","5"
"powershell 7.5 .net 8","0","1","0","5"
"mcp ki schnittstellen","0","1","0","47"
"mcp","0","1","0","10"
"github copilot agent","0","1","0","2"
"server beratung","0","1","0","23"
"umsetzungsplan","0","1","0","9"
